Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Tuskegee Institute,National Historic Site,"In 1881, Booker T. Washington arrived in Alabama and started building Tuskegee Institute both in reputation and literally brick by brick.  He recruited the best and the brightest to come and teach here including George Washington Carver who arrived in 1896.  Carver’s innovations in agriculture, especially with peanuts, expanded Tuskegee’s standing throughout the country.  The story continues….",1212 West Montgomery Road,,,Tuskegee Institute,AL,36088,334 727-3200
Alagnak,Wild River,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.",PO Box 245,,,King Salmon,AK,99613,907 246-3305
Alaska Public Lands,,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.",605 West 4th Avenue,Suite 105,,Anchorage,AK,99501,907 644-3661
Aleutian Islands World War II,National Historic Area,"During World War II the remote Aleutian Islands, home to the Unangax^ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax^ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater.","Affiliated Areas, Alaska Regional Office",National Park Service,240 W 5th Avenue,Anchorage,AK,99501,907 644-3472
Aniakchak,National Monument & Preserve,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.",PO Box 245,,,KIng Salmon,AK,99613,907 246-3305
Bering Land Bridge,National Preserve,Bering Land Bridge National Preserve lies at the continental crossroads that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.,P.O. Box 220,,,Nome,AK,99762,800 471-2352
Cape Krusenstern,National Monument,"North of the Arctic Circle, the monument forms 70 miles of shoreline on the Chukchi Sea.  More than 114 beach ridges provide evidence of human use for 5,000 years.  The Inupiat continue to use the area today.  Vast wetlands provide habitat for shorebirds from as far away as South America.  Hikers and boaters can see carpets of wildflowers among shrubs containing wisps of qiviut from muskoxen.",PO Box 1029,,,Kotzebue,AK,99752,907 442-3890
Denali,National Park & Preserve,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await.",PO Box 9,,,Denali Park,AK,99755,907 683-9532
Gates Of The Arctic,National Park & Preserve,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.",101 Dunkel St,Suite 110,,Fairbanks,AK,99701,907-459-3730
Glacier Bay,National Park & Preserve,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.",Glacier Bay National Park & Preserve,PO Box 140,,Gustavus,AK,99826,907 697-2230
Iñupiat Heritage Center,,"On the rooftop of the world, the Iñupiat Heritage Center in Barrow, Alaska, tells the story of the Iñupiat people. They have thrived for thousands of years in one of the harshest climates on Earth, hunting the bowhead, or ""Agviq."" In the 19th century, these lonely seas swarmed with commercial whalemen from New England, who also sought the bowhead for its valuable baleen and blubber.",P.O Box 69,,,Barrow,AK,99723,907 852-0422
Katmai,National Park & Preserve,"A landscape is alive underneath our feet, filled with creatures that remind us what it is to be wild.
Katmai was established in 1918 to protect the volcanically devastated region surrounding Novarupta and the Valley of Ten Thousand Smokes. Today, Katmai National Park and Preserve also protects 9,000 years of human history and important habitat for salmon and thousands of brown bears.",PO Box 7,"1000 Silver Street, Building 603",,King Salmon,AK,99613,907 246-3305
Kenai Fjords,National Park,"At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests around this vast expanse of ice. Sugpiaq people relied on these resources to nurture a life entwined with the sea. Today, shrinking glaciers bear witness to the effects of our changing climate.",PO Box 1727,,,Seward,AK,99664,907 422-0500
Klondike Gold Rush,National Historical Park,"Headlines screamed ""Gold!"" The dream of a better life catapulted thousands of people to Alaska and the Yukon Territory. Their journey shaped them, and changed the people they encountered and the north forever. Today, the park remembers the trails, boomtowns, and stories of the Klondike Gold Rush.",Klondike Gold Rush National Historical Park,P.O. Box 517,,Skagway,AK,99840,907 983-9200
Kobuk Valley,National Park,"Caribou, sand dunes, the Kobuk River, Onion Portage - just some of the facets of Kobuk Valley National Park. Half a million caribou migrate through, their tracks crisscrossing sculpted dunes. The Kobuk River is an ancient and current path for people and wildlife. For 9000 years, people came to Onion Portage to harvest caribou as they swam the river. Even today, that rich tradition continues.",PO Box 1029,,,Kotzebue,AK,99752,907 442-3890
Lake Clark,National Park & Preserve,"Lake Clark National Park and Preserve is a land of stunning beauty. Volcanoes steam, salmon run, bears forage, and craggy mountains reflect in shimmering turquoise lakes. Here, too, local people and culture still depend on the land and water. Venture into the park to become part of the wilderness.",PO Box 227,,,Port Alsworth,AK,99653,907 644-3626
Noatak,National Preserve,"As one of North America's largest mountain-ringed river basins with an intact ecosystem, the Noatak River environs features some of the Arctic's finest arrays of plants and animals. The river is classified as a national wild and scenic river, and offers stunning wilderness float-trip opportunities - from deep in the Brooks Range to the tidewater of the Chukchi Sea.",PO Box 1029,,,Kotzebue,AK,99752,907 442-3890
Sitka,National Historical Park,"On an island amid towering spruce and hemlock, Sitka National Historical Park preserves the site of a battle between invading Russian traders and indigenous Kiks.ádi Tlingit. Totem poles from Tlingit and Haida areas line the park’s scenic coastal trail, and the restored Russian Bishop’s House is a rare reminder of Russia’s colonial legacy in North America.",103 Monastery St.,,,Sitka,AK,99835,907 747-0110
Wrangell - St Elias,National Park & Preserve,"Wrangell-St. Elias is a vast national park that rises from the ocean all the way up to 18,008 ft. At 13.2 million acres, the park is the same size as Yellowstone National Park, Yosemite National Park, and Switzerland combined! Within this wild landscape, people continue to live off the land as they have done for centuries. This rugged, beautiful land is filled with opportunities for adventure.",Wrangell-St. Elias National Park & Preserve,PO Box 439,Mile 106.8 Richardson Highway,Copper Center,AK,99573,907 822-5234
Yukon - Charley Rivers,National Preserve,"Located in Interior Alaska, Yukon-Charley Rivers offers exploration in a largely untouched landscape. Whether you float the mighty Yukon River or paddle the Charley River's whitewater, your memories will last a lifetime. Geology, cultural history, gold rush remnants, wildlife, and vast scenery will be a part of your experience. But, the strongest element will be solitude. Your adventure awaits.",101 Dunkel St,Suite 110,,Fairbanks,AK,99701,907-459-3730
National Park of American Samoa,,"The National Park of American Samoa welcomes you into the heart of the South Pacific, to a world of sights, sounds, and experiences that you will find in no other national park in the United States.
Enjoy this unique national park and the welcoming people of American Samoa. We are here to protect its rich culture and natural resources. Come explore them with us!",National Park of American Samoa,"MHJ Building, 2nd Floor",,Pago Pago,AS,96799,684 633-7082
Canyon de Chelly,National Monument,"For nearly 5,000 years, people have lived in these canyons - longer than anyone has lived uninterrupted anywhere on the Colorado Plateau.  In the place called Tsegi, their homes and images tell us their stories. Today, Navajo families make their homes, raise livestock, and farm the lands in the canyons. A place like no other, the park and Navajo Nation work together to manage the land's resources.",P.O. Box 588,,,Chinle,AZ,86503,928 674-5500
Casa Grande Ruins,National Monument,"Explore the mystery and complexity of an extended network of communities and irrigation canals. An Ancestral Sonoran Desert People's farming community and ""Great House"" are preserved at Casa Grande Ruins. Whether the Casa Grande was a gathering place for the Desert People or simply a waypoint marker in an extensive system of canals and trading partners is but part of the mystique of the Ruins.",1100 W. Ruins Drive,,,Coolidge,AZ,85128,520 723-3172
Chiricahua,National Monument,"A ""Wonderland of Rocks"" is waiting for you to explore at Chiricahua National Monument. The 8-mile paved scenic drive and 17-miles of day-use hiking trails provide opportunities to discover the beauty, natural sounds, and inhabitants of this 12,025 acre site. Visit the Faraway Ranch Historic District to discover more about the people who have called this area home.",12856 E Rhyolite Creek Rd,,,Willcox,AZ,85643,520 824-3560
Coronado,National Memorial,"It was a journey of conquest filled with exploration, wonder - and cruelty. Inspired by tales of vast cities of gold, 339 European soldiers and hundreds of Aztec allies embarked on an epic journey through arid deserts and rugged mountains. They encountered rich traditions and brought new technologies. The resulting collision and combination of cultures reverberates today.",4101 E Montezuma Canyon Road,,,Hereford,AZ,85615,520 366-5515
Fort Bowie,National Historic Site,"Fort Bowie witnessed almost 25 years of conflict between the Chiricahua Apache and the US Army, and remains a tangible connection to the turbulent era of the late 1800s. Explore the history of Fort Bowie and Apache Pass as you hike to the visitor center and old fort ruins. Today, this peaceful landscape stands in stark contrast to the violence that once gripped this land.",P.O. Box 158,,,Bowie,AZ,85605,520-847-2500
Glen Canyon,National Recreation Area,"Encompassing over 1.25 million acres, Glen Canyon National Recreation Area offers unparalleled opportunities for water-based & backcountry recreation. The recreation area stretches for hundreds of miles from Lees Ferry in Arizona to the Orange Cliffs of southern Utah, encompassing scenic vistas, geologic wonders, and a vast panorama of human history.",PO Box 1507,,,Page,AZ,86040,928 608-6200
Grand Canyon,National Park,"Located in Arizona, Grand Canyon National Park encompasses 277 miles (446 km) of the Colorado River and adjacent uplands. The immense Grand Canyon is a mile (1.6 km) deep, and up to 18 miles (29 km) wide. Layered bands of colorful rock reveal millions of years of geologic history with unmatched vistas from the rim. The South Rim is open 24 hours. The North Rim is Closed for the Winter.",PO Box 129,,,Grand Canyon,AZ,86023,928-638-7888
Grand Canyon-Parashant,National Monument,"Take a lonely and rocky two-track road in a 4x4 to the edge of the Grand Wash Cliffs. Find a stunning solitary vista deep into the Grand Canyon. Relax in the shade of ponderosas at Mt. Trumbull. Touch ancient waters at Pakoon Springs in one of the driest places in the world. Parashant is remote. There are no crowds here. Be equipped to leave pavement, cell service, and the 21st century behind.",345 East Riverside Drive,,,St. George,UT,84790,435 688-3200
Hubbell Trading Post,National Historic Site,"The squeaky wooden floor greets your entry into the oldest operating Trading Post on the Navajo Nation.  When your eyes adjust to the dim light in the ""bullpen"" you find you’ve just entered a mercantile.  Hubbell Trading Post has been serving Ganado selling goods and Native American Art since 1878.
Discover Hubbell Trading Post NHS, sheep, rugs, jewelry and so much more..",Hubbell Trading Post National Historic Site,P.O. Box 150,,Ganado,AZ,86505-0150,928 755-3475
Juan Bautista de Anza,National Historic Trail,"""¡Vayan Subiendo!""(""Everyone mount up!"") was the rousing call from Juan Bautista de Anza. In 1775-76, he led some 240 men, women, and children on an epic journey to establish the first non-Native settlement at San Francisco Bay. Today, the 1,200-mile Juan Bautista de Anza National Historic Trail connects history, culture, and outdoor recreation from Nogales, Arizona, to the San Francisco Bay Area.","440 Civic Center Plaza, Suite 300",,,Richmond,CA,94804,(510) 232-5050
Lake Mead,National Recreation Area,"Swim, boat, hike, cycle, camp and fish at America’s first and largest national recreation area. With striking landscapes and brilliant blue waters, this year-round playground spreads across 1.5 million acres of mountains, canyons, valleys and two vast lakes. See the Hoover Dam from the waters of Lake Mead or Lake Mohave, or find solitude in one of the park's nine wilderness areas.",601 Nevada Way,,,Boulder City,NV,89005,702 293-8990
Montezuma Castle,National Monument,"Established December 8, 1906, Montezuma Castle is the third National Monument dedicated to preserving Native American culture. This 20 room high-rise apartment, nestled into a towering limestone cliff, tells a story of ingenuity, survival and ultimately, prosperity in an unforgiving desert landscape.",P. O. Box 219,,,Camp Verde,AZ,86322,928 567-3322
Navajo,National Monument,"The Hopi, San Juan Southern Paiute, Zuni, and Navajo are tribes that have inhabited the canyons for centuries. Springs fed into farming land on the canyon floor and homes were built in the natural sandstone alcoves. The cliff dwellings of Betatakin, Keet Seel, and Inscription House were last physically occupied around 1300 AD but the villages have a spiritual presence that can still be felt today.",P.O. Box 7717,,,Shonto,AZ,86045,928 672-2700
Old Spanish,National Historic Trail,"Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses.",National Trails Office Regions 6|7|8,Old Spanish National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Organ Pipe Cactus,National Monument,"Look closely. Look again. The sights and sounds of Organ Pipe Cactus National Monument, an International Biosphere Reserve, reveal a thriving community of plants and animals. Human stories echo throughout this desert preserve, chronicling thousands of years of desert living. A scenic drive, wilderness hike or a night of camping will expose you to a living desert that thrives.",10 Organ Pipe Drive,,,Ajo,AZ,85321,520 387-6849
Petrified Forest,National Park,"Park Hours: 8am to 5pm, MST
Visitors & staff must wear a mask to enter any public building, including the visitor center, even if vaccinated.
Would you like to see the park film? It is located at the park's YouTube Channel",Petrified Forest National Park,PO Box 2217 1 Park Road #2217,Attn.:,Petrified Forest,AZ,86028-2217,928 524-6228
Pipe Spring,National Monument,"The rich history of Pipe Spring and its flowing water comes alive as you explore the traditions of the Kaibab Paiute and the Mormon settlers through the museum, historic fort, cabins, and garden. Hike the Ridge Trail to enjoy geologic wonders, plants, and wildlife. Attend living history demonstrations and talks and be sure to visit with our amazing ranch animals!",Pipe Spring National Monument,HC 65 Box 5,406 Pipe Springs Road,Fredonia,AZ,86022,928 643-7105
Saguaro,National Park,"Tucson, Arizona is home to the nation's largest cacti. The giant saguaro is the universal symbol of the American west. These majestic plants, found only in a small portion of the United States, are protected by Saguaro National Park, to the east and west of the modern city of Tucson. Here you have a chance to see these enormous cacti, silhouetted by the beauty of a magnificent desert sunset.",3693 S Old Spanish Trail,,,Tucson,AZ,85730,520 733-5153
Sunset Crater Volcano,National Monument,"The lava flow lies on the land like a dream, a wonderland of rock. A thousand years ago the ground was torn open and lava erupted into the sky, forever changing the landscape and the lives of the people who lived here. A thousand years later, trees and flowers grow among the rocks, and people visit the lava flow to see and remember the most recent volcanic eruption in Arizona.",6400 U.S. 89,,,Flagstaff,AZ,86004,928-526-0502
Tonto,National Monument,"The Salado Phenomena, 700 years ago, blended ideas of neighboring Native American cultures to emerge a unique and vibrant society. Tonto National Monument showcases two Salado-style cliff dwellings. Colorful pottery, woven cotton cloth, and other artifacts tell a story of people living and using resources from the northern Sonoran Desert from 1250 to 1450 CE.",26260 N AZ Hwy 188 Lot 2,,,Roosevelt,AZ,85545,928 467-2241
Tumacácori,National Historical Park,"Tumacácori sits at a cultural crossroads in the Santa Cruz River valley. Here O’odham, Yaqui, and Apache people met and mingled with European Jesuit and Franciscan missionaries, settlers, and soldiers, sometimes in conflict and sometimes in cooperation. Follow the timeworn paths and discover stories that connect us to enduring relationships, vibrant cultures, and traditions of long ago.",P.O. Box 8067,,,Tumacacori,AZ,85640,520 377-5060
Tuzigoot,National Monument,"Water flows under and through this landscape, feeding the growth of people and towns. The Verde Valley is watered by snowmelt, summer monsoons, and springs that well up from the ancient sedimentary rocks. In the heart of the valley, a thousand years ago, people began to build a little hilltop pueblo that would grow into one of the largest villages in the area.",P.O. Box 219,,,Camp Verde,AZ,86322,928-634-5564
Walnut Canyon,National Monument,"Come gaze across curved canyon walls. Among the remarkable geological formations of the canyon itself, the former homes of ancient inhabitants are easily evident. Along the trails you can imagine life within Walnut Canyon, while visiting actual pueblos and walking in the steps of those who came before.",6400 U.S. 89,,,Flagstaff,AZ,86004,928 526-3367
Wupatki,National Monument,Nestled between the Painted Desert and ponderosa highlands of northern Arizona Wupatki seems like an unlikely landscape for a thriving community. In the early 1100s during a time period of cooler temperatures and wetter seasons the ancestors of contemporary Pueblo communities created a bustling center of trade and culture. For Hopi people these sites represent the footprints of their ancestors.,6400 U.S. 89,,,Flagstaff,AZ,86004,9286792365 or 9288561705
Arkansas Post,National Memorial,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",1741 Old Post Road,,,Gillett,AR,72055,870 548-2207
Buffalo,National River,"Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River.",402 N. Walnut Street,Suite 136,,Harrison,AR,72601,870 439-2502
Fort Smith,National Historic Site,"Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them.
From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.",301 Parker Ave,,,Fort Smith,AR,72901,479 783-3961
Hot Springs,National Park,"Hot Springs National Park has a rich cultural past. The grand architecture of our historic bathhouses is equally matched by the natural curiosities that have been drawing people here for hundreds of years. Ancient thermal springs, mountain views, incredible geology, forested hikes, and abundant creeks – all in the middle of town – make Hot Springs National Park a unique and beautiful destination.",101 Reserve Street,,,Hot Springs,AR,71901,501 620-6715
Little Rock Central High School,National Historic Site,"In 1957, Little Rock Central High School was the epicenter of confrontation and a catalyst for change as the fundamental test for the United States to enforce African American civil rights following Brown v. Board of Education. Learn how the sacrifice and struggle endured by the Little Rock Nine have provided opportunities and opened doors for those seeking equality and education around the world.",Little Rock Central High School NHS,2120 W. Daisy L. Gatson Bates Drive,,Little Rock,AR,72202-5212,501.374.1957
Pea Ridge,National Military Park,"On March 7-8, 1862, over 23,000 soldiers fought here to decide the fate of Missouri and was a turning point of the war in the West.  The 4,300 acre battlefield honors those who fought and died on these grounds. Pea Ridge was the most pivotal Civil War battle west of the Mississippi River and is one of the most intact Civil War battlefields in the United States.",15930 E Hwy 62,,,Garfield,AR,72732,479-451-8122
President William Jefferson Clinton Birthplace Home,National Historic Site,"Named for the father who died shortly before his birth, William Jefferson Blythe III later became the 42nd President of the United States. In this place, the experiences shared with his mother & grandparents in rural Arkansas developed the broad views on race relations, social justice, and public service that defined his presidency and life after the White House. For Bill Clinton, ""Hope was home.""",117 South Hervey Street,,,Hope,AR,71801,(870) 777-4455
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Alcatraz Island,,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",Alcatraz Island,Golden Gate National Recreation Area,B201 Fort Mason,San Francisco,CA,94123,415 561-4900
Cabrillo,National Monument,"Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration.",1800 Cabrillo Memorial Drive,,,San Diego,CA,92106,619 523-4285
California,National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",National Trails Office Regions 6|7|8,California National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Castle Mountains,National Monument,"Castle Mountains represents some of the most unique elements of the Mojave Desert. Nestled between the Nevada state line and Mojave National Preserve, the nearly 21,000 acres of Castle Mountains boasts Joshua tree forests, unbroken natural landscapes, rare desert grasslands, and rich human history. This intriguing area provides serenity and solitude from nearby metropolitan areas.",Castle Mountains National Monument,2701 Barstow Road,,Barstow,CA,92311,760 252-6100
César E. Chávez,National Monument,"Yes, we can!
Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chávez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions",PO Box 201,,,Keene,CA,93531,661 823-6134
Channel Islands,National Park,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.",1901 Spinnaker Drive,,,Ventura,CA,93001,805 658-5730
Death Valley,National Park,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley.",,,,Death Valley,CA,92328,760 786-3200
Devils Postpile,National Monument,"Established in 1911 by presidential proclamation, Devils Postpile National Monument protects and preserves the Devils Postpile formation, the 101-foot high Rainbow Falls, and pristine mountain scenery.  The formation is a rare sight in the geologic world and ranks as one of the world's finest examples of columnar basalt. Its' columns tower up to 60 feet and display a striking symmetry.",PO Box 3999,,,Mammoth Lakes,CA,93546,760 934-2289
Eugene O'Neill,National Historic Site,"America's only Nobel Prize winning playwright, Eugene O'Neill, chose to live in Northern California at the height of his writing career. Isolated from the world and within the walls of his home, O'Neill wrote his final and most memorable plays; The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten.",Eugene O'Neill NHS,P.O. Box 280,,Danville,CA,94526,925-228-8860
Fort Point,National Historic Site,"From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge.",Fort Point National Historic Site,"Building 201, Fort Mason",,San Francisco,CA,94123,(415) 561-4959
Golden Gate,National Recreation Area,"Experience a park so rich it supports 19 distinct ecosystems with over 2,000 plant and animal species. Go for a hike, enjoy a vista, have a picnic or learn about the centuries of overlapping history from California’s indigenous cultures, Spanish colonialism, the Mexican Republic, US military expansion and the growth of San Francisco. All of this and more awaits you, so get out and find your park.",Golden Gate National Recreation Area,"Building 201, Fort Mason",,San Francisco,CA,94123-0022,415 561-4700
John Muir,National Historic Site,"John Muir played many roles in his life, all of which helped him succeed in his role as an advocate for Nature. As America’s most famous naturalist and conservationist, Muir fought to protect the wild places he loved, places we can still visit today. Muir’s writings convinced the U.S. government to protect Yosemite, Sequoia, Grand Canyon and Mt. Rainier as national parks.",4202 Alhambra Ave,,,Martinez,CA,94553,925 228-8860
Joshua Tree,National Park,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself.",74485 National Park Drive,,,Twentynine Palms,CA,92277-3597,760 367-5500
Juan Bautista de Anza,National Historic Trail,"""¡Vayan Subiendo!""(""Everyone mount up!"") was the rousing call from Juan Bautista de Anza. In 1775-76, he led some 240 men, women, and children on an epic journey to establish the first non-Native settlement at San Francisco Bay. Today, the 1,200-mile Juan Bautista de Anza National Historic Trail connects history, culture, and outdoor recreation from Nogales, Arizona, to the San Francisco Bay Area.","440 Civic Center Plaza, Suite 300",,,Richmond,CA,94804,(510) 232-5050
